code,name,DESCR,BMTYP_CODE,lang_code,is_active,cr_by,cr_dtimes
TM,Thumbs,Print of Left and Right Thumbs,FNR,eng,TRUE,superadmin,now()
RH,Right Slab,Print of Right Slab,FNR,eng,TRUE,superadmin,now()
LH,Left Slab,Print of Left Slab,FNR,eng,TRUE,superadmin,now()
LI,Left Iris,Print of Left Iris,IRS,eng,TRUE,superadmin,now()
RI,Right Iris,Print of Right Iris,IRS,eng,TRUE,superadmin,now()
TM,الابهام,طباعة الإبهام الأيسر والأيمن,FNR,ara,TRUE,superadmin,now()
RH,لوح الحق,طباعة من اليمين لوح,FNR,ara,TRUE,superadmin,now()
LH,لوح اليسار,طباعة بلاطة اليسار,FNR,ara,TRUE,superadmin,now()
LI,غادر القزحية,طباعة القزحية اليسرى,IRS,ara,TRUE,superadmin,now()
RI,الحق ايريس,طباعة القزحية اليمنى,IRS,ara,TRUE,superadmin,now()
TM,Les pouces,Empreinte des pouces gauche et droit,FNR,fra,TRUE,superadmin,now()
RH,Dalle droite,Impression de la dalle droite,FNR,fra,TRUE,superadmin,now()
LH,Dalle gauche,Impression de la dalle gauche,FNR,fra,TRUE,superadmin,now()
LI,Iris gauche,Gravure de Iris Gauche,IRS,fra,TRUE,superadmin,now()
RI,Iris droit,Empreinte de l'iris droit,IRS,fra,TRUE,superadmin,now()
TM,अंगूठे,बाएं और दाएं अंगूठे की प्रिंट,FNR,hin,TRUE,superadmin,now()
RH,राइट स्लैब,राइट स्लैब के प्रिंट,FNR,hin,TRUE,superadmin,now()
LH,वाम स्लैब,वाम स्लैब के प्रिंट,FNR,hin,TRUE,superadmin,now()
LI,वाम आइरिस,वाम आइरिस की प्रिंट,IRS,hin,TRUE,superadmin,now()
RI,राइट आइरिस,राइट आइरिस की प्रिंट,IRS,hin,TRUE,superadmin,now()
TM,கட்டைவிரலை,இடது மற்றும் வலது தம்ஸ் ஏற்பட்டுவிட்டதால் அச்சிடுவதற்கு,FNR,tam,TRUE,superadmin,now()
RH,வலது அடுக்கில்,வலது அடுக்கில் ஏற்பட்டுவிட்டதால் அச்சிடுவதற்கு,FNR,tam,TRUE,superadmin,now()
LH,இடது அடுக்கில்,இடது அடுக்கில் ஏற்பட்டுவிட்டதால் அச்சிடுவதற்கு,FNR,tam,TRUE,superadmin,now()
LI,இடது ஐரிஸ்,இடது ஐரிஸ் ஏற்பட்டுவிட்டதால் அச்சிடுவதற்கு,IRS,tam,TRUE,superadmin,now()
RI,வலது ஐரிஸ்,வலது ஐரிஸ் ஏற்பட்டுவிட்டதால் அச்சிடுவதற்கு,IRS,tam,TRUE,superadmin,now()
TM,thumbs,ბეჭდვითი მარცხენა და მარჯვენა Thumbs,FNR,kan,TRUE,superadmin,now()
RH,Right Slab,ბეჭდვითი მარჯვენა Slab,FNR,kan,TRUE,superadmin,now()
LH,მარცხენა Slab,ბეჭდვითი მარცხენა Slab,FNR,kan,TRUE,superadmin,now()
LI,მარცხენა Iris,ბეჭდვითი მარცხენა Iris,IRS,kan,TRUE,superadmin,now()
RI,Right Iris,ბეჭდვითი მარჯვენა Iris,IRS,kan,TRUE,superadmin,now()
