code,name,descr,lang_code,is_active,cr_by,cr_dtimes
POA,Proof of Address,Address Proof,eng,TRUE,superadmin,now()
POA,إثبات العنوان,عنوان الدليل,ara,TRUE,superadmin,now()
POA,Un justificatif de domicile,Preuve dadresse,fra,TRUE,superadmin,now()
POI,Proof of Identity,Identity Proof,eng,TRUE,superadmin,now()
POI,إثبات هوية,إثبات الهوية,ara,TRUE,superadmin,now()
POI,Preuve didentité,Preuve didentité,fra,TRUE,superadmin,now()
POR,Proof of Relationship,Proof Relationship of the person,eng,TRUE,superadmin,now()
POR,إثبات العلاقة,إثبات علاقة الشخص,ara,TRUE,superadmin,now()
POR,Preuve de relation,Preuve de relation de la personne,fra,TRUE,superadmin,now()
POB,Proof of Birth,Proof date of birth of the person,eng,FALSE,superadmin,now()
POB,إثبات الميلاد,تاريخ إثبات ميلاد الشخص,ara,FALSE,superadmin,now()
POB,Preuve de naissance,Preuve de la date de naissance de la personne,fra,FALSE,superadmin,now()
POE,Proof of Biometric Exception,Proof of Biometric Exception,eng,TRUE,superadmin,now()
POE,دليل استثناء البيومترية,دليل استثناء البيومترية,ara,TRUE,superadmin,now()
POE,Preuve dexception biométrique,Preuve dexception biométrique,fra,TRUE,superadmin,now()
POA,पते का सबूत,निवास प्रमाण पत्र,hin,TRUE,superadmin,now()
POI,सबूत की पहचान,पहचान का सबूत,hin,TRUE,superadmin,now()
POR,रिश्ता का प्रमाण,व्यक्ति का प्रमाण रिश्ता,hin,TRUE,superadmin,now()
POB,जन्म का प्रमाण,व्यक्ति के जन्म के प्रमाण दिनांक,hin,FALSE,superadmin,now()
POE,बॉयोमीट्रिक अपवाद का प्रमाण,बॉयोमीट्रिक अपवाद का प्रमाण,hin,TRUE,superadmin,now()
POA,ವಿಳಾಸ ಪುರಾವೆ,ವಿಳಾಸ ಪುರಾವೆ,kan,TRUE,superadmin,now()
POI,ಗುರುತಿನ ಆಧಾರ,ಗುರುತಿನ ಪುರಾವೆ,kan,TRUE,superadmin,now()
POR,ಸಂಬಂಧ ಪುರಾವೆ,ವ್ಯಕ್ತಿಯ ಪ್ರೂಫ್ ಸಂಬಂಧ,kan,TRUE,superadmin,now()
POB,ಬರ್ತ್ ಪುರಾವೆ,ವ್ಯಕ್ತಿಯ ಹುಟ್ಟಿದ ಪ್ರೂಫ್ ದಿನಾಂಕ,kan,FALSE,superadmin,now()
POE,ಬಯೊಮೀಟ್ರಿಕ್ ಎಕ್ಸೆಪ್ಶನ್ ಪುರಾವೆ,ಬಯೊಮೀಟ್ರಿಕ್ ಎಕ್ಸೆಪ್ಶನ್ ಪುರಾವೆ,kan,TRUE,superadmin,now()
POA,முகவரி சான்று,முகவரி சான்று,tam,TRUE,superadmin,now()
POI,அடையாள சான்று,அடையாளச் சான்று,tam,TRUE,superadmin,now()
POR,உறவு சான்று,நபர் சான்று உறவு,tam,TRUE,superadmin,now()
POB,பிறப்பு சான்று,நபர் பிறந்த சான்று தேதி,tam,FALSE,superadmin,now()
POE,பையோமெட்ரிக் விதிவிலக்கு சான்று,பையோமெட்ரிக் விதிவிலக்கு சான்று,tam,TRUE,superadmin,now()
