id,name,descr,file_format_code,model,file_txt,module_id,module_name,template_typ_code,lang_code,is_active,cr_by,cr_dtimes
1101,Template for authorization content,Template for authorization content,txt,,"Dear $name
Your Authentication of $idvidType $idvid using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services",10004,ID Authentication,auth-email-content,eng,TRUE,superadmin,now()
1102,Template for authorization subject,Template for authorization subject,txt,,$idvidType $idvid Authentication $status,10004,ID Authentication,auth-email-subject,eng,TRUE,superadmin,now()
1103,Template for authorization SMS,Template for authorization SMS,txt,,Your Authentication of $idvidType $idvid using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services.,10004,ID Authentication,auth-sms,eng,TRUE,superadmin,now()
1101,قالب لمحتوى التخويل,قالب لمحتوى التخويل,txt,velocity,"عزيزي $name ،
مصاٿقة $idvidType $idvid باستخدام $authType على $date في $time Hrs $status على جهاز تم نشره بواسطة ""خٿمات MOSIP"".",10004,مصادقة الهوية,auth-email-content,ara,TRUE,superadmin,now()
1102,قالب لموضوع التخويل,قالب لموضوع التخويل,txt,velocity,$idvidType $idvid: مصادقة $status,10004,مصادقة الهوية,auth-email-subject,ara,TRUE,superadmin,now()
1103,قالب لرسالة التفويض,قالب لرسالة التفويض,txt,velocity,"مصاٿقتك على $idvidType $idvid باستخدام $authType في $date في $time Hrs $status على جهاز تم نشره بواسطة ""خدمات MOSIP"".",10004,مصادقة الهوية,auth-sms,ara,TRUE,superadmin,now()
1101,Modèle de contenu dautorisation,Modèle de contenu dautorisation,txt,velocity,"Cher $name,
Votre authentification $idvidType $idvid utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services""",10004,Authentification ID,auth-email-content,fra,TRUE,superadmin,now()
1102,Modèle pour sujet dautorisation,Modèle pour sujet dautorisation,txt,velocity,$idvidType $idvid: $status dauthentification,10004,Authentification ID,auth-email-subject,fra,TRUE,superadmin,now()
1103,Modèle de SMS dautorisation,Modèle de SMS dautorisation,txt,velocity,"Votre authentification $idvidType $idvid utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services"".",10004,Authentification ID,auth-sms,fra,TRUE,superadmin,now()
1107,Template for duplicate UIN Email,Template for duplicate UIN Email,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Registration Processor,RPR_DUP_UIN_EMAIL,eng,TRUE,superadmin,now()
1108,Template for duplicate UIN SMS,Template for duplicate UIN SMS,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_DUP_UIN_SMS,eng,TRUE,superadmin,now()
1109,Template for Technical Issue Email,Template for Technical Issue Email,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because of a technical issue. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Registration Processor,RPR_TEC_ISSUE_EMAIL,eng,TRUE,superadmin,now()
1110,Template for Technical Issue SMS,Template for Technical Issue SMS,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because of a technical issue. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_TEC_ISSUE_SMS,eng,TRUE,superadmin,now()
1111,Template for UIN generation Email,Template for UIN generation Email,txt,velocity,"Dear $name_eng,

Your UIN for Registration ID: $!RID has been successfully generated and will reach soon at your postal address.

Thank You",10003,Registration Processor,RPR_UIN_GEN_EMAIL,eng,TRUE,superadmin,now()
1112,Template for UIN generation SMS,Template for UIN generation SMS,txt,velocity,"Dear $name_eng,

Your UIN for Registration ID: $!RID has been successfully generated and will reach soon at your postal address.",10003,Registration Processor,RPR_UIN_GEN_SMS,eng,TRUE,superadmin,now()
1113,Template for update details Email,Template for update details Email,txt,velocity,"Dear $!name_eng,

Your UIN details for the Registration ID: $!RID have been updated and a physical copy of your UIN card will reach you soon at your postal address.

Thank You",10003,Registration Processor,RPR_UIN_UPD_EMAIL,eng,TRUE,superadmin,now()
1114,Template for update Details SMS,Template for update Details SMS,txt,velocity,"Dear $!name_eng,

Your UIN details for the Registration ID: $!RID have been updated and a physical copy of your UIN card will reach you soon at your postal address.",10003,Registration Processor,RPR_UIN_UPD_SMS,eng,TRUE,superadmin,now()
1107,قالب لبريد إلكتروني مكرر الهوية,قالب لبريد إلكتروني مكرر الهوية,txt,velocity,"$!name_ara،

لقد فشل طلبك الخاص بـ UIN لمعرف التسجيل: $!RID لأنه تم العثور على UIN مكرر مقابل تفاصيلك. يرجى زيارة أقرب مكتب للتسجيل أو زيارة https://mosip.io/grievances

شكرا جزيلا",10003,معالج التسجيل,RPR_DUP_UIN_EMAIL,ara,TRUE,superadmin,now()
1108,قالب لرسالة الهوية المكررة,قالب لرسالة الهوية المكررة,txt,velocity,"$!name_ara،

لقد فشل طلبك الخاص بـ UIN لمعرف التسجيل: $!RID لأنه تم العثور على UIN مكرر مقابل تفاصيلك. يرجى زيارة أقرب مكتب للتسجيل أو زيارة https://mosip.io/grievances",10003,معالج التسجيل,RPR_DUP_UIN_SMS,ara,TRUE,superadmin,now()
1109,نموذج للبريد الإلكتروني لمشكلة فنية,نموذج للبريد الإلكتروني لمشكلة فنية,txt,velocity,"$!name_ara،

طلبك لـ UIN لمعرف التسجيل: $!RID فشل بسبب مشكلة فنية. يرجى زيارة أقرب مكتب للتسجيل أو زيارة https://mosip.io/grievances

شكرا جزيلا",10003,معالج التسجيل,RPR_TEC_ISSUE_EMAIL,ara,TRUE,superadmin,now()
1110,قالب لرسالة المشكلة الفنية,قالب لرسالة المشكلة الفنية,txt,velocity,"$!name_ara،

طلبك لـ UIN لمعرف التسجيل: $!RID فشل بسبب مشكلة فنية. يرجى زيارة أقرب مكتب للتسجيل أو زيارة https://mosip.io/grievances",10003,معالج التسجيل,RPR_TEC_ISSUE_SMS,ara,TRUE,superadmin,now()
1111,قالب لتوليد الهوية البريد الإلكتروني,قالب لتوليد الهوية البريد الإلكتروني,txt,velocity,"$name_ara،

تم إنشاء رقم UIN الخاص بك لمعرف التسجيل: $!RID بنجاح وسيصل قريباً إلى عنوانك البريدي.

شكرا جزيلا",10003,معالج التسجيل,RPR_UIN_GEN_EMAIL,ara,TRUE,superadmin,now()
1112,قالب لرسالة توليد الهوية,قالب لرسالة توليد الهوية,txt,velocity,"$name_ara،

تم إنشاء رقم UIN الخاص بك لمعرف التسجيل: $!RID بنجاح وسيصل قريباً إلى عنوانك البريدي.",10003,معالج التسجيل,RPR_UIN_GEN_SMS,ara,TRUE,superadmin,now()
1113,قالب للحصول على تفاصيل التحديث,قالب للحصول على تفاصيل التحديث,txt,velocity,"$!name_ara ،

تم تحديث تفاصيل UIN المطابقة لمعرف التسجيل: $!RID وسوف تصل إليك نسخة مادية من UIN في عنوانك البريدي قريبًا.

شكرا",10003,معالج التسجيل,RPR_UIN_UPD_EMAIL,ara,TRUE,superadmin,now()
1114,قالب لتحديث تفاصيل الرسالة,قالب لتحديث تفاصيل الرسالة,txt,velocity,"$!name_ara ،

تم تحديث تفاصيل UIN المطابقة لمعرف التسجيل: $!RID وسوف تصل إليك نسخة مادية من UIN في عنوانك البريدي قريبًا.",10003,معالج التسجيل,RPR_UIN_UPD_SMS,ara,TRUE,superadmin,now()
1107,Modèle de courrier didentité en double,Modèle de courrier didentité en double,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué car un duplicata d'UIN a été trouvé par rapport à vos informations. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances

Merci",10003,Processeur dinscription,RPR_DUP_UIN_EMAIL,fra,TRUE,superadmin,now()
1108,Modèle de message didentité en double,Modèle de message didentité en double,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué car un duplicata d'UIN a été trouvé par rapport à vos informations. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances",10003,Processeur dinscription,RPR_DUP_UIN_SMS,fra,TRUE,superadmin,now()
1109,Modèle pour courrier électronique de problème technique,Modèle pour courrier électronique de problème technique,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué en raison d'un problème technique. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances

Merci",10003,Processeur dinscription,RPR_TEC_ISSUE_EMAIL,fra,TRUE,superadmin,now()
1110,Modèle de message de problème technique,Modèle de message de problème technique,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué en raison d'un problème technique. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances",10003,Processeur dinscription,RPR_TEC_ISSUE_SMS,fra,TRUE,superadmin,now()
1111,Modèle de courrier électronique de génération didentité,Modèle de courrier électronique de génération didentité,txt,velocity,"Cher $!name_fra,

Votre UIN pour ID d’enregistrement: $!RID a été généré avec succès et vous parviendra sous peu à votre adresse postale.

Merci",10003,Processeur dinscription,RPR_UIN_GEN_EMAIL,fra,TRUE,superadmin,now()
1112,Modèle de message de génération didentité,Modèle de message de génération didentité,txt,velocity,"Cher $!name_fra,

Votre UIN pour ID d’enregistrement: $!RID a été généré avec succès et vous parviendra sous peu à votre adresse postale.",10003,Processeur dinscription,RPR_UIN_GEN_SMS,fra,TRUE,superadmin,now()
