code,name,descr,lang_code,is_active,cr_by,cr_dtimes
MIR,Mr,Male Title,eng,TRUE,superadmin,now()
MRS,Mrs,Female Title,eng,TRUE,superadmin,now()
MIS,Miss,Unmarried Female Title,eng,TRUE,superadmin,now()
MIR,أستاذ,العنوان الذكور,ara,TRUE,superadmin,now()
MRS,ست,عنوان أنثى,ara,TRUE,superadmin,now()
MIS,آنسة,العنوان الإناث غير المتزوجات,ara,TRUE,superadmin,now()
MIR,Monsieur,Titre masculin,fra,TRUE,superadmin,now()
MRS,Madame,Titre féminin,fra,TRUE,superadmin,now()
MIS,Mademoiselle,Titre de femme célibataire,fra,TRUE,superadmin,now()
MIR,ಶ್ರೀ,ಪುರುಷ ಶೀರ್ಷಿಕೆ,kan,TRUE,superadmin,now()
MRS,ಶ್ರೀಮತಿ,ಸ್ತ್ರೀ ಶೀರ್ಷಿಕೆ,kan,TRUE,superadmin,now()
MIS,ಮಿಸ್,ಮದುವೆಯಾಗದ ಸ್ತ್ರೀ ಶೀರ್ಷಿಕೆ,kan,TRUE,superadmin,now()
MIR,श्री ग,नर शीर्षक,hin,TRUE,superadmin,now()
MRS,श्रीमती,महिला शीर्षक,hin,TRUE,superadmin,now()
MIS,कुमारी,अविवाहित महिला शीर्षक,hin,TRUE,superadmin,now()
MIR,திரு,ஆண் தலைப்பு,tam,TRUE,superadmin,now()
MRS,திருமதி,பெண் தலைப்பு,tam,TRUE,superadmin,now()
MIS,செல்வி,திருமணமாகாத பெண் தலைப்பு,tam,TRUE,superadmin,now()
